PID,Season,contestant,ChW,ChA,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Finish,Time,nonVFB,VFB%,nVFB%,NoJ,InRCA,InRCW,InICA,InICW,InChA,InChW,InChW%,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,TrCh 2nd,TrCh 3rd,Exile,TVA,VAT%,NI VFT,NI VFT%,Sex,Birthday,Day 1 Filming date,Age,,VVp,VAPi
201,13,Billy Garcia,0.10,0.45,0.222,0,0,4,5,1,-0.80,0.00,0,0,9,0,-0.58,0.10,6,19,1,1,0.00,1.00,0.10,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0.000,1,0,0,1,1.00,0,0.00,M,4/22/1970,6/26/2006,36.2,,,4
202,13,Sekou Bunch,0.00,0.20,0.000,0,0,3,5,1,-0.60,0.00,0,0,9,0,-0.60,0.00,3,20,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,M,9/9/1960,6/26/2006,45.8,,,3
203,14,Earl Cole,1.18,10.73,0.11,0,8,1,63,9,0.89,4.98,8,9,9,1.00,2.00,12.16,39,1,1,1,0.89,0.11,6.16,2,0,6,0,8,0,0.00,7,2,9,4,16,6,0.375,0,0,6,1,0.11,8,0.89,M,4/9/1971,2/8/2007,35.8,,,1
204,14,Cassandra Franklin,2.62,10.71,0.24,2,5,5,47,7,0.70,2.22,4,0,9,0.00,0.94,4.84,39,2,1,2,0.71,0.29,4.84,2,1,6,0,8,1,0.13,7,3,9,8,16,11,0.688,0,0,0,3,0.43,3,0.43,F,4/19/1964,2/8/2007,42.8,,,5
205,14,Dreamz Herd,2.82,10.71,0.26,0,9,2,69,11,0.82,3.82,9,0,9,0.00,1.08,6.64,39,2,1,2,0.82,0.18,6.64,2,0,6,1,8,1,0.13,7,5,9,5,16,10,0.625,0,0,0,2,0.18,8,0.80,M,12/15/1981,2/8/2007,25.1,,,2
206,14,Yau-Man Chan,4.44,11.73,0.38,1,8,5,71,10,0.79,2.49,6,0,9,0,1.17,6.93,38,4,1,2,0.80,0.20,6.93,3,1,6,2,9,3,0.33,7,1,9,4,16,5,0.313,0,0,4,4,0.40,3,0.38,M,8/26/1952,2/8/2007,54.5,,4,9
207,14,Boo Bernis,5.30,10.71,0.49,0,4,5,43,6,0.65,2.07,4,0,9,0,1.14,7.37,37,5,1,2,0.67,0.33,7.37,3,1,5,2,8,3,0.38,7,5,9,9,16,14,0.875,0,0,2,2,0.33,1,0.25,M,6/21/1972,2/8/2007,34.6,,,5
208,14,Stacy Kimball,3.35,9.71,0.34,0,4,4,43,6,0.65,2.33,4,0,9,0,1.00,5.68,36,6,1,2,0.67,0.33,5.68,3,0,4,1,7,1,0.14,7,6,9,8,16,14,0.875,0,0,0,2,0.33,3,0.60,F,10/1/1979,2/8/2007,27.4,,,4
209,14,Alex Angarita,1.45,7.38,0.20,0,6,9,54,8,0.73,1.62,6,0,9,0,0.93,3.06,33,7,1,2,0.75,0.25,3.06,2,0,3,0,5,0,0.00,6,5,9,5,15,10,0.667,0,0,0,2,0.25,6,0.75,M,4/20/1978,2/8/2007,28.8,,,9
210,14,Mookie Lee,0.17,5.39,0.03,0,5,6,71,10,0.49,1.40,7,0,9,0,0.52,1.57,30,8,1,5,0.50,0.50,1.57,1,0,2,0,3,0,0.00,6,1,9,0,15,1,0.067,0,0,2,3,0.30,7,0.70,M,11/10/1981,2/8/2007,25.2,,,6
211,14,Edgardo Rivera,1.40,4.13,0.34,0,4,5,34,5,0.77,2.49,4,0,9,0,1.11,3.89,27,9,1,1,0.80,0.20,3.89,1,0,1,0,2,0,0.00,5,4,9,6,14,10,0.714,0,0,0,1,0.20,4,0.80,M,10/5/1978,2/8/2007,28.3,,,5
212,14,Michelle Yi,0.73,2.14,0.34,0,3,3,37,5,0.58,2.40,4,0,9,0,0.93,3.13,24,10,1,2,0.60,0.40,3.13,0,0,0,0,0,0,#DIV/0!,5,1,9,3,14,4,0.286,0,0,0,1,0.20,4,0.80,F,12/2/1983,2/8/2007,23.2,,,3
213,14,Lisi Linares,0.93,1.76,0.53,2,2,7,19,3,0.54,1.70,0,0,9,0,1.07,2.63,21,11,1,1,0.67,0.33,2.63,0,0,0,0,0,0,#DIV/0!,5,3,7,4,12,7,0.583,0,0,3,3,1.00,0,0.00,F,6/9/1970,2/8/2007,36.7,,,7
214,14,Rocky Reid,0.17,1.54,0.11,0,3,5,44,6,0.48,1.56,3,0,9,0,0.59,1.72,19,12,1,3,0.50,0.50,1.72,0,0,0,0,0,0,#DIV/0!,4,1,7,0,11,1,0.091,0,0,0,3,0.50,3,0.50,M,9/11/1978,2/8/2007,28.4,,,5
215,14,Anthony Robinson,0.00,1.21,0.00,0,3,10,38,5,0.55,1.20,2,0,9,0,0.55,1.20,16,13,1,2,0.60,0.40,1.20,0,0,0,0,0,0,#DIV/0!,3,0,6,0,9,0,0.000,0,0,0,3,0.60,2,0.40,M,6/25/1974,2/8/2007,32.6,,,10
216,14,Rita Verreos,0.00,1.04,0.00,0,2,6,32,4,0.45,1.40,2,0,9,0,0.45,1.40,14,14,1,2,0.50,0.50,1.40,0,0,0,0,0,0,#DIV/0!,3,0,5,0,8,0,0.000,0,0,0,2,0.50,2,0.50,F,7/19/1968,2/8/2007,38.6,,,6
217,14,Liliana Gomez,0.74,0.74,1.00,0,0,6,8,1,-0.75,0.00,0,0,9,0,0.25,0.74,11,15,1,1,0.00,1.00,0.74,0,0,0,0,0,0,#DIV/0!,2,2,4,4,6,6,1.000,0,0,0,1,1.00,0,0.00,F,4/5/1981,2/8/2007,25.8,,,6
218,14,Gary Stritesky*,0.46,0.60,0.76,1,0,9,9,1,-1.00,0.00,0,0,9,0,-0.24,0.46,10,16,1,1,0.00,1.00,0.46,0,0,0,0,0,0,#DIV/0!,2,1,3,3,5,4,0.800,0,0,0,1,1.00,0,0.00,M,9/16/1951,2/8/2007,55.4,,,9
219,14,Sylvia Kwan,0.00,0.36,0.00,0,1,6,16,2,0.31,1.40,0,0,9,0,0.31,1.40,8,17,1,1,0.50,0.50,1.40,0,0,0,0,0,0,#DIV/0!,1,0,2,0,3,0,0.000,0,0,3,2,1.00,0,0.00,F,,2/8/2007,,,,6
220,14,Erica Durousseau,0.00,0.22,0.00,0,0,6,17,2,-0.18,0.00,1,0,9,0,-0.18,0.00,6,18,1,2,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,2,0,2,0,0.000,0,0,0,1,0.50,1,0.50,F,12/11/1979,2/8/2007,27.8,,,6
221,14,Jessica DeBen,0.00,0.11,0.00,0,0,6,9,1,-0.67,0.00,0,0,9,0,-0.67,0.00,3,19,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,F,4/25/1979,2/8/2007,27.8,,,6
222,15,Todd Herzog,1.33,13.30,0.10,4,9,5,64,9,0.99,3.11,5,4,7,0.57,1.66,7.86,39,1,1,0,1.00,0.00,4.44,4,0,7,0,11,0,0.00,6,3,6,4,12,7,0.583,0,0,0,4,0.44,5,0.56,M,,,,,,5
223,15,Courtney Yates,1.68,13.30,0.13,6,7,0,64,9,0.78,5.44,9,2,7,0.29,1.19,8.84,39,2,1,2,0.78,0.22,7.13,4,0,7,1,11,1,0.09,6,2,6,2,12,4,0.333,0,0,0,0,0.00,8,1.00,F,,,,,,0
224,15,Amanda Kimmel,4.27,13.30,0.32,2,9,0,64,9,1.00,7.00,9,1,7,0.14,1.46,12.13,39,3,1,0,1.00,0.00,11.27,4,1,7,2,11,3,0.27,6,4,6,3,12,7,0.583,0,0,0,0,0.00,6,0.86,F,,,,,,0
225,15,Denise Martin,2.97,13.30,0.22,4,7,3,64,9,0.77,3.11,8,0,7,0,1.00,6.08,39,4,1,2,0.78,0.22,6.08,4,2,7,0,11,2,0.18,6,2,6,4,12,6,0.500,0,0,0,1,0.11,6,0.67,F,,,,,,3
226,15,Peih-Gee Law,3.58,11.30,0.32,0,5,8,71,10,0.49,1.17,5,0,7,0,0.81,4.75,36,5,1,5,0.50,0.50,4.75,3,1,6,2,9,3,0.33,6,1,6,2,12,3,0.250,0,0,0,5,0.50,2,0.25,F,4/7/1978,,,,,8
227,15,Erik Huffman,1.83,9.30,0.20,0,6,5,66,9,0.66,2.07,7,0,7,0,0.86,3.91,33,6,1,3,0.67,0.33,3.91,2,0,5,1,7,1,0.14,6,2,6,2,12,4,0.333,0,0,0,2,0.22,6,0.75,M,,,,,,5
228,15,James Clement,1.27,7.30,0.17,1,4,9,47,6,0.63,1.44,3,0,7,0,0.81,2.70,30,7,1,2,0.67,0.33,2.70,1,0,4,0,5,0,0.00,6,3,6,4,12,7,0.583,0,0,0,3,0.50,3,0.50,M,,,,,,9
229,15,Frosti Zernow,2.03,5.30,0.38,0,6,7,55,7,0.84,2.18,6,0,7,0,1.22,4.22,27,8,1,1,0.86,0.14,4.22,0,0,3,1,3,1,0.33,6,3,6,2,12,5,0.417,0,0,0,1,0.14,5,0.83,M,,,,,,7
230,15,Jean-Robert Bellande,1.30,4.05,0.32,2,3,12,34,4,0.66,1.31,0,0,7,0,0.98,2.61,24,9,1,1,0.75,0.25,2.61,0,0,2,0,2,0,0.00,5,4,6,3,11,7,0.636,0,0,0,4,1.00,0,0.00,M,,,,,,12
231,15,Jaime Dugan,0.58,2.80,0.21,1,4,7,36,5,0.76,2.04,4,0,7,0,0.97,2.62,21,10,1,1,0.80,0.20,2.62,0,0,1,0,1,0,0.00,4,1,6,2,10,3,0.300,0,0,0,1,0.20,4,0.80,F,,,,,,7
232,15,Sherea Lloyd,0.78,1.80,0.43,1,3,6,28,4,0.70,2.10,2,0,7,0,1.13,2.88,18,11,1,1,0.75,0.25,2.88,0,0,0,0,0,0,#DIV/0!,4,2,6,2,10,4,0.400,0,0,0,2,0.50,2,0.50,F,,,,,,6
233,15,Aaron Reisberger,0.97,1.30,0.74,0,1,3,13,2,0.38,2.00,1,0,7,0,1.13,2.97,15,12,1,1,0.50,0.50,2.97,0,0,0,0,0,0,#DIV/0!,3,2,5,3,8,5,0.625,0,0,0,1,0.50,1,0.50,M,,,,,,3
234,15,Dave Cruser,0.33,1.10,0.30,0,1,6,21,3,0.24,0.93,1,0,7,0,0.54,1.27,12,13,1,2,0.33,0.67,1.27,0,0,0,0,0,0,#DIV/0!,3,1,4,1,7,2,0.286,0,0,0,2,0.67,1,0.33,M,,,,,,6
235,15,Leslie Nease,0.27,0.77,0.35,2,0,6,8,1,-0.75,0.00,0,0,7,0,-0.40,0.27,9,14,1,1,0.00,1.00,0.27,0,0,0,0,0,0,#DIV/0!,2,1,3,1,5,2,0.400,0,0,0,1,1.00,0,0.00,F,3/25/1969,,,,,6
236,15,Ashley Massaro,0.00,0.43,0.00,0,0,8,15,2,-0.27,0.00,0,0,7,0,-0.27,0.00,6,15,1,2,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,1,0,2,0,3,0,0.000,0,0,0,2,1.00,0,0.00,F,,,,,,8
237,15,Chicken Morris,0.00,0.13,0.00,0,0,5,8,1,-0.63,0.00,0,0,7,0,-0.63,0.00,3,16,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,M,9/2/1959,,,,,5
188,16,Parvati Shallow,2.17,12.05,0.180,1,9,4,60,9,0.99,3.50,5,5,8,0.63,1.80,9.42,39,1,2,0,1.00,0.00,5.67,2,0,8,1,10,1,0.10,6,4,8,5,14,9,0.643,0,0,2,4,0.44,4,0.50,F,9/21/1982,,,,,4
224,16,Amanda Kimmel,2.89,12.05,0.240,0,12,0,86,13,0.92,6.46,12,3,8,0.38,1.54,11.60,39,2,2,1,0.92,0.08,9.35,2,0,8,2,10,2,0.20,6,4,8,2,14,6,0.429,0,0,2,1,0.08,10,0.91,F,,,,,4,4
170,16,Cirie Fields,0.64,11.80,0.054,1,11,3,86,13,0.84,3.38,10,0,8,0,0.90,4.02,38,3,2,2,0.85,0.15,4.02,2,0,8,0,10,0,0.00,6,3,8,2,14,5,0.357,0,0,3,3,0.23,10,0.77,F,,,,,,3
238,16,Natalie Bolton,0.88,12.05,0.073,2,5,3,57,8,0.62,2.50,7,0,8,0,0.69,3.38,37,4,1,3,0.63,0.38,3.38,2,0,7,0,9,0,0.00,6,1,8,6,14,7,0.500,0,0,0,1,0.13,7,0.88,F,,,,,,3
239,16,Erik Reichenbach,4.63,10.05,0.460,0,7,7,79,11,0.63,1.62,8,0,8,0,1.09,6.25,36,5,1,4,0.64,0.36,6.25,2,1,6,3,8,4,0.50,6,2,8,2,14,4,0.286,0,0,0,3,0.27,4,0.50,M,,,,,,7
240,16,Alexis Jones,1.91,7.80,0.245,0,3,2,48,6,0.49,2.33,5,0,8,0,0.74,4.25,33,6,1,3,0.50,0.50,4.25,1,1,5,0,6,1,0.17,6,2,7,5,13,7,0.538,0,0,1,1,0.17,4,0.67,F,,,,,,2
228,16,James Clement*,1.42,7.05,0.202,0,3,3,46,5,0.47,1.00,4,0,8,0,0.67,2.42,31,7,2,2,0.60,0.40,2.42,1,0,4,0,5,0,0.00,6,4,8,6,14,10,0.714,0,0,0,1,0.20,4,0.80,M,,,,,,3
241,16,Jason Siska,2.41,6.05,0.399,0,1,8,46,5,0.17,0.47,3,0,8,0,0.56,2.88,30,8,1,4,0.20,0.80,2.88,0,0,4,1,4,1,0.25,6,3,8,6,14,9,0.643,0,0,6,2,0.40,2,0.50,M,,,,,,8
184,16,Ozzy Lusth,0.89,4.80,0.185,0,7,9,64,8,0.86,1.88,4,0,8,0,1.04,2.77,27,9,2,1,0.88,0.13,2.77,0,0,3,0,3,0,0.00,6,4,7,2,13,6,0.462,0,0,3,4,0.50,4,0.50,M,8/23/1981,,,,,9
116,16,Eliza Orlins,1.42,3.80,0.375,0,2,8,29,3,0.57,1.56,2,0,8,0,0.95,2.98,24,10,2,1,0.67,0.33,2.98,0,0,2,0,2,0,0.00,5,4,8,6,13,10,0.769,0,0,0,1,0.33,2,0.67,F,,,,,,8
118,16,Ami Cusack,0.64,2.80,0.228,0,4,4,45,6,0.65,2.33,5,0,8,0,0.88,2.97,21,11,2,2,0.67,0.33,2.97,0,0,1,0,1,0,0.00,5,3,8,2,13,5,0.385,0,0,1,1,0.17,5,0.83,F,,,,,,4
242,16,Tracy Hughes-Wolf,0.38,2.55,0.148,1,3,7,40,5,0.57,1.53,3,0,8,0,0.71,1.91,20,12,1,2,0.60,0.40,1.91,0,0,1,0,1,0,0.00,5,1,7,2,12,3,0.250,0,0,2,2,0.40,3,0.60,F,,,,,,7
243,16,Kathy Sleckman*,1.75,2.39,0.732,0,2,7,26,3,0.58,1.70,2,0,8,0,1.31,3.44,19,13,1,1,0.67,0.33,3.44,0,0,1,1,1,1,1.00,5,2,6,4,11,6,0.545,0,0,4,1,0.33,1,0.50,F,,,,,,7
244,16,Chet Welch,0.21,2.22,0.095,1,3,12,34,4,0.66,1.31,0,0,8,0,0.76,1.52,17,14,1,1,0.75,0.25,1.52,0,0,1,0,1,0,0.00,4,0,6,2,10,2,0.200,0,0,2,4,1.00,0,0.00,M,,,,,,12
189,16,Jonathan Penner*,0.87,2.08,0.417,0,1,0,19,2,0.23,0.78,2,0,8,0,0.65,1.64,15,15,2,1,0.50,0.50,1.64,0,0,1,0,1,0,0.00,4,4,5,3,9,7,0.778,0,0,0,0,0.00,2,1.00,M,,,,,,0
245,16,Joel Anderson,0.21,1.93,0.109,0,1,6,27,3,0.26,0.93,2,0,8,0,0.37,1.14,14,16,1,2,0.33,0.67,1.14,0,0,1,0,1,0,0.00,3,0,5,2,8,2,0.250,0,0,0,1,0.33,2,0.67,M,,,,,,6
246,16,Mikey B' Bortone,0.21,1.68,0.125,0,0,6,19,2,-0.16,0.00,1,0,8,0,-0.03,0.21,11,17,1,2,0.00,1.00,0.21,0,0,1,0,1,0,0.00,2,0,4,2,6,2,0.333,0,0,0,1,0.50,1,0.50,M,,,,,,6
206,16,Yau-Man Chan,1.22,1.43,0.853,0,1,6,19,2,0.34,1.40,1,0,8,0,1.19,2.62,8,18,2,1,0.50,0.50,2.62,0,0,1,1,1,1,1.00,1,1,3,1,4,2,0.500,0,0,0,1,0.50,0,0.00,M,,,,,,6
247,16,Mary Sartain,0.10,1.21,0.083,0,0,6,10,1,-0.60,0.00,0,0,8,0,-0.52,0.10,6,19,1,1,0.00,1.00,0.10,0,0,1,0,1,0,0.00,0,0,2,1,2,1,0.500,0,0,0,1,1.00,0,0.00,F,11/11/1978,,,,,6
99,16,Jonny Fairplay,0.00,1.10,0.000,0,0,9,10,1,-0.90,0.00,0,0,8,0,-0.90,0.00,3,20,2,1,0.00,1.00,0.00,0,0,1,0,1,0,0.00,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,M,,,,,,9
248,17,Bob Crowley,6.64,11.40,0.58,0,5,2,60,9,0.55,2.59,8,4,7,0.57,1.71,12.66,39,1,1,4,0.56,0.44,9.24,2,2,7,3,9,5,0.56,7,5,7,5,14,10,0.714,0,0,4,1,0.11,3,0.50,M,2/25/1951,6/23/2008,57.3,,,2
249,17,Susie Smith,3.10,11.40,0.27,1,9,7,68,10,0.89,2.29,7,3,7,0.43,1.59,7.97,39,2,1,1,0.90,0.10,5.40,1,0,7,2,8,2,0.25,7,4,7,3,14,7,0.500,0,0,2,3,0.30,5,0.63,F,10/24/1960,6/23/2008,47.7,,,7
250,17,Sugar' Kiper,1.13,11.26,0.10,1,10,0,66,10,1.00,7.00,10,0,7,0.00,1.10,8.13,39,3,1,0,1.00,0.00,8.13,2,0,7,0,9,0,0.00,7,3,6,3,13,6,0.462,0,0,10,0,0.00,10,1.00,F,2/22/1979,6/23/2008,29.3,,,0
251,17,Matty Whitmore,0.76,11.40,0.07,0,10,5,81,12,0.83,2.59,9,0,7,0,0.89,3.35,38,4,1,2,0.83,0.17,3.35,1,0,7,0,8,0,0.00,7,2,7,2,14,4,0.286,0,0,0,3,0.25,9,0.75,M,12/18/1978,6/23/2008,29.5,,2,7
252,17,Ken Hoang,1.14,10.40,0.11,1,9,7,82,12,0.74,1.91,9,0,7,0,0.85,3.05,37,5,1,3,0.75,0.25,3.05,1,0,6,1,7,1,0.14,7,0,7,1,14,1,0.071,0,0,0,3,0.25,8,0.73,M,10/10/1985,6/23/2008,22.7,,,7
253,17,Crystal Cox,0.64,9.40,0.07,0,10,11,77,11,0.90,1.70,7,0,7,0,0.96,2.34,36,6,1,1,0.91,0.09,2.34,2,0,5,0,7,0,0.00,7,2,7,1,14,3,0.214,0,0,0,4,0.36,7,0.64,F,3/28/1979,6/23/2008,29.2,,,11
254,17,Corinne Kaplan,1.14,7.40,0.15,5,2,4,40,5,0.38,1.40,4,0,7,0,0.53,2.54,33,7,1,3,0.40,0.60,2.54,0,0,4,0,4,0,0.00,7,2,7,6,14,8,0.571,0,0,0,1,0.20,4,0.80,F,1/17/1979,6/23/2008,29.4,,,4
255,17,Randy Bailey,1.72,5.07,0.34,0,2,5,41,5,0.38,1.24,4,0,7,0,0.72,2.97,30,8,1,3,0.40,0.60,2.97,0,0,3,0,3,0,0.00,6,5,7,5,13,10,0.769,0,0,0,1,0.20,4,0.80,M,3/31/1959,6/23/2008,49.2,,,5
256,17,Charlie Herschel,1.56,4.07,0.38,1,2,5,25,3,0.60,2.07,2,0,7,0,0.98,3.63,27,9,1,1,0.67,0.33,3.63,0,0,2,0,2,0,0.00,6,4,7,6,13,10,0.769,0,0,0,1,0.33,2,0.67,M,5/12/1979,6/23/2008,29.1,,,5
257,17,Marcus Lehman,2.31,2.82,0.82,0,1,3,21,3,0.29,1.33,2,0,7,0,1.10,3.64,27,10,1,2,0.33,0.67,3.64,0,0,2,1,2,1,0.50,6,4,7,5,13,9,0.692,0,0,0,1,0.33,1,0.50,M,10/3/1979,6/23/2008,28.7,,,3
258,17,Dan Kay,1.27,2.62,0.49,0,2,4,24,3,0.61,2.33,2,0,7,0,1.10,3.60,21,11,1,1,0.67,0.33,3.60,0,0,1,0,1,0,0.00,5,4,6,4,11,8,0.727,0,0,1,1,0.33,2,0.67,M,6/30/1976,6/23/2008,32.0,,,4
259,17,Ace Gordon,0.35,2.62,0.13,0,3,5,34,5,0.57,1.87,3,0,7,0,0.70,2.21,21,12,1,2,0.60,0.40,2.21,0,0,1,0,1,0,0.00,5,1,6,2,11,3,0.273,0,0,0,2,0.40,3,0.60,M,9/3/1980,6/23/2008,27.8,,,5
260,17,Kelly Czarnecki,0.35,1.42,0.24,1,2,8,29,4,0.43,1.17,1,0,7,0,0.68,1.51,18,13,1,2,0.50,0.50,1.51,0,0,0,0,0,0,#DIV/0!,4,1,6,2,10,3,0.300,0,0,0,3,0.75,1,0.25,F,4/4/1986,6/23/2008,22.2,,,8
261,17,Danny 'GC' Brown,0.31,1.09,0.29,0,3,6,31,4,0.70,2.10,3,0,7,0,0.99,2.41,15,14,1,1,0.75,0.25,2.41,0,0,0,0,0,0,#DIV/0!,3,1,5,1,8,2,0.250,0,0,0,1,0.25,3,0.75,M,7/13/1982,6/23/2008,25.9,,,6
262,17,Jacquie Berg,0.35,0.80,0.43,1,1,5,16,2,0.34,1.56,1,0,7,0,0.78,1.90,12,15,1,1,0.50,0.50,1.90,0,0,0,0,0,0,#DIV/0!,2,1,4,2,6,3,0.500,0,0,0,1,0.50,1,0.50,F,9/10/1982,6/23/2008,25.8,,,5
263,17,Paloma Soto-Castillo,0.22,0.66,0.34,2,0,7,9,1,-0.78,0.00,0,0,7,0,-0.44,0.22,9,16,1,1,0.00,1.00,0.22,0,0,0,0,0,0,#DIV/0!,2,1,3,1,5,2,0.400,0,0,0,1,1.00,0,0.00,F,8/24/1984,6/23/2008,23.8,,,7
264,17,Gillian Larson,0.00,0.35,0.00,0,1,8,17,2,0.26,1.17,0,0,7,0,0.26,1.17,6,17,1,1,0.50,0.50,1.17,0,0,0,0,0,0,#DIV/0!,1,0,2,0,3,0,0.000,0,0,0,2,1.00,0,0.00,F,2/24/1947,6/23/2008,61.3,,,8
265,17,Michelle Chase,0.00,0.22,0.00,0,0,8,9,1,-0.89,0.00,0,0,7,0,-0.89,0.00,3,18,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,1,0,1,0,2,0,0.000,0,0,0,1,1.00,0,0.00,F,3/7/1984,6/23/2008,24.3,,,8
266,18,J.T. Thomas,5.38,12.37,0.43,1,9,0,68,11,0.82,5.73,11,7,7,1.00,2.26,17.11,39,1,1,2,0.82,0.18,11.11,2,1,8,3,10,4,0.40,6,5,6,2,12,7,0.583,0,0,0,0,0.00,7,0.88,M,,,,,,0
267,18,Stephen Fishbach,2.60,12.37,0.21,2,11,1,68,11,1.00,5.60,9,0,7,0.00,1.21,8.20,39,2,1,0,1.00,0.00,8.20,2,1,8,1,10,2,0.20,6,2,6,2,12,4,0.333,0,0,6,2,0.18,7,0.70,M,,,,,,1
268,18,Erinn Lobdell,0.91,12.37,0.07,1,6,5,57,9,0.66,2.07,5,0,7,0,0.73,2.98,38,3,1,3,0.67,0.33,2.98,2,0,8,0,10,0,0.00,6,1,6,4,12,5,0.417,0,0,4,4,0.44,5,0.56,F,,,,,,5
269,18,Taj' Johnson-George,0.80,11.37,0.07,1,7,7,65,10,0.69,1.78,6,0,7,0,0.76,2.58,37,4,1,3,0.70,0.30,2.58,2,0,7,0,9,0,0.00,6,3,6,2,12,5,0.417,0,0,7,4,0.40,6,0.60,F,,,,,,7
270,18,Coach Wade,1.86,10.37,0.18,1,4,6,50,7,0.55,1.60,4,0,7,0,0.74,3.46,36,5,1,3,0.57,0.43,3.39,2,0,6,1,8,1,0.13,6,1,6,4,12,5,0.417,0,0,2,3,0.43,3,0.50,M,,,,,,6
271,18,Debbie Beebe,2.24,8.37,0.27,2,4,6,45,6,0.64,1.87,4,0,7,0,0.92,4.11,33,6,1,2,0.67,0.33,4.11,1,0,5,1,6,1,0.17,6,3,6,3,12,6,0.500,0,0,0,2,0.33,3,0.60,F,,,,,,6
272,18,Sierra Reed,0.86,7.37,0.12,1,3,11,39,5,0.54,1.12,1,0,7,0,0.66,1.98,30,7,1,2,0.60,0.40,1.98,1,0,4,0,5,0,0.00,6,1,6,4,12,5,0.417,0,0,2,4,0.80,1,0.20,F,,,,,,11
273,18,Tyson Apostol,3.11,5.37,0.58,0,2,5,32,4,0.46,1.56,3,0,7,0,1.05,4.66,27,8,1,2,0.50,0.50,4.66,0,0,3,2,3,2,0.67,6,2,6,4,12,6,0.500,0,0,0,1,0.25,1,0.50,M,,,,,,5
274,18,Brendan Synnott,1.19,4.12,0.29,0,2,4,24,3,0.61,2.33,2,0,7,0,0.91,3.53,24,9,1,1,0.67,0.33,3.53,0,0,2,0,2,0,0.00,5,2,6,4,11,6,0.545,0,0,5,1,0.33,2,0.67,M,,,,,,4
275,18,Joe Dowdle*,0.80,2.78,0.29,0,3,1,26,4,0.55,1.40,3,0,7,0,0.84,1.92,20,10,1,1,0.75,0.25,2.20,0,0,1,0,1,0,0.00,4,3,6,2,10,5,0.500,0,0,2,1,0.25,3,0.75,M,,,,,,1
276,18,Sydney Wheeler,0.60,1.78,0.33,0,3,4,26,4,0.71,2.63,2,0,7,0,1.19,3.42,18,11,1,1,0.75,0.25,3.22,0,0,0,0,0,0,#DIV/0!,4,2,6,2,10,4,0.400,0,0,0,2,0.50,2,0.50,F,5/11/1984,,,,,4
277,18,Spencer Duhm,0.60,1.38,0.43,1,2,5,21,3,0.59,2.07,2,0,7,0,1.06,2.67,15,12,1,1,0.67,0.33,2.67,0,0,0,0,0,0,#DIV/0!,3,2,5,2,8,4,0.500,0,0,0,1,0.33,2,0.67,M,,,,,,5
278,18,Sandy Burgin,0.43,1.05,0.41,0,1,6,15,2,0.30,1.40,0,0,7,0,0.98,2.03,12,13,1,1,0.50,0.50,1.83,0,0,0,0,0,0,#DIV/0!,2,1,4,2,6,3,0.500,0,0,0,2,1.00,0,0.00,F,,,,,,6
279,18,Jerry Sims,0.13,0.55,0.23,0,1,6,15,2,0.30,1.40,1,0,7,0,0.53,1.53,9,14,1,1,0.50,0.50,1.53,0,0,0,0,0,0,#DIV/0!,1,0,3,1,4,1,0.250,0,0,0,1,0.50,1,0.50,M,,,,,,6
280,18,Candace Smith,0.13,0.27,0.47,0,0,7,8,1,-0.88,0.00,0,0,7,0,-0.41,0.13,6,15,1,1,0.00,1.00,0.13,0,0,0,0,0,0,#DIV/0!,0,0,2,1,2,1,0.500,0,0,0,1,1.00,0,0.00,F,,,,,,7
281,18,Carolina Eastwood,0.00,0.13,0.00,0,0,7,8,1,-0.88,0.00,0,0,7,0,-0.88,0.00,3,16,1,1,0.00,1.00,0.00,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0.000,0,0,0,1,1.00,0,0.00,F,,,,,,7
282,19,Natalie White,0.37,11.18,0.03,1,14,5,108,14,1.00,3.11,13,7,9,0.778,1.81,8.14,39,1,1,0,1.00,0.00,3.48,0,0,9,0,9,0,0.00,5,1,6,1,11,2,0.182,0,0,0,1,0.07,13,0.93,F,,,,,,5
283,19,Russell Hantz,1.83,11.30,0.16,1,14,2,108,14,1.00,4.67,13,2,9,0.222,1.38,7.83,39,2,1,0,1.00,0.00,6.49,0,0,9,1,9,1,0.11,5,2,6,1,11,3,0.273,0,0,0,1,0.07,12,0.92,M,,,,,7,9
