,contestant,Fake_contestant,PID,Fake_PID,Sex,Fake_Sex
343,Shamar Thomas*,Lesley Higgins,394,URYG77836804352869,M,Sex 1
344,Francesca Hogi,Darren Wright,337,EQCD77663680388160,F,Sex 2
345,Allie Pohevitz,Mr Julian Dale,395,LUHI00254112105013,F,Sex 2
346,Hope Driskill,Connor Robson-Cooper,396,GBYS07351704774310,F,Sex 2
347,Tyson Apostol,Amanda Goodwin,273,DNIQ75337037627640,M,Sex 1
348,Monica Culpepper,Heather Bailey,368,LDOJ42925813975015,F,Sex 2
349,Gervase Peterson,Stephen Taylor,7,CLDX60958456254936,M,Sex 1
350,Laura Morett.,Adrian Brown,291,PUIJ19773157078290,F,Sex 2
351,Caleb Bankston,Mr Lewis Sutton,397,KMCA75523144017764,M,Sex 1
352,John Cody,Mr Antony Perry,398,BPMH50556183337404,M,Sex 1
353,Katie Collins,Lynn Wilson-Moore,399,CXIM56714107657422,F,Sex 2
354,Brad Culpepper,Antony Morris,400,KIEB23432585514784,M,Sex 1
355,Vytas Baskauskas,Geoffrey Quinn,401,TCYJ45312617919191,M,Sex 1
356,Tina Wesson,Lindsey Ball-Thomson,17,ZPYU40345708410783,F,Sex 2
357,Hayden Moss,Abdul Chambers,402,ASEV30471933553895,M,Sex 1
358,Ciera Eastin,Janice Smith,403,UUJL68496114395322,F,Sex 2
359,Kat Edorsson,Dr Mitchell Weston,360,EJJY53194968427636,F,Sex 2
360,Aras Baskauskas,Lynda Miller,167,HHQP27048204167771,M,Sex 1
361,Laura Boneham,Amber Wheeler,404,WQVA64349439066292,F,Sex 2
362,Colton Cumbie*,Gregory Chadwick,362,KWAL03008093856111,M,Sex 1
363,Candice Cody,Kathryn Jenkins,190,BXIK64211082380421,F,Sex 2
364,Rachel Foulger,Rhys Reed,405,VOVZ72400768969538,F,Sex 2
365,Marissa Peterson,Brett Smith-Ryan,406,URNK91396143123155,F,Sex 2
366,Rupert Boneham,Dr Kim Kennedy,104,ZBDV18443097913181,M,Sex 1
367,Tony Vlachos,Lisa Lawrence,407,MSIS89335002517012,M,Sex 1
368,Woo Hwang,Simon Lowe,408,ZITN03644611693741,M,Sex 1
369,Tasha Fox,Lynn White,409,DSDC86959760902972,F,Sex 2
370,Spencer Bledsoe,Anthony Sharp,410,WFFF30022418520210,M,Sex 1
371,Kass McQuillen,Mr Gordon Carter,411,WTRK36484198202946,F,Sex 2
372,Jefra Bland,Lesley Booth,412,JKUR51653270891302,F,Sex 2
373,Trish Hegarty,Ricky Hutchinson,413,ZCXN37993078809029,F,Sex 2
374,LJ McKanas,Dr Alice Payne,414,KAZY79230890669239,M,Sex 1
375,Jeremiah Wood,Christian James,415,YJBN73736639221709,M,Sex 1
376,Sarah Lacina,Jay Woodward,416,BHZY51221686553280,F,Sex 2
377,Garrett Adelstein,Guy Wright,417,HAJR70531493545007,M,Sex 1
378,Alexis Maxwell,Samuel Berry,418,RWBI32341152605253,F,Sex 2
379,J'Tia Taylor,Keith Bates-Fry,419,ORDG36192744759729,F,Sex 2
380,Morgan McLeod,Lorraine Hughes,420,BWGI26851922508148,F,Sex 2
381,Cliff Robinson,Miss Stacey Cole,421,MKEQ71133278095799,M,Sex 1
382,Lindsey Ogle*,Ms Shannon Griffiths,422,XRAV71205271133889,F,Sex 2
383,Brice Johnston,Jessica Young,423,KXDV20158670248597,M,Sex 1
384,David Samson,Ross Taylor-Patterson,424,EHSM08533046250598,M,Sex 1
385,Natalie Anderson,Simon Patel,425,SAYK59473869176639,F,Sex 2
386,Jaclyn Schultz,Leah Hill-Parry,426,RRYI53513721167187,F,Sex 2
387,Keith Nale,Keith Cooper,427,USDC97519892488014,M,Sex 1
388,Jon Misch,Matthew Hicks-Morgan,428,NZEL94749109814214,M,Sex 1
389,Jeremy Collins,Mr Andrew Lawrence,429,UCTW53745720091492,M,Sex 1
390,Missy Payne,Mark Day-Simpson,430,WVRQ69132099346658,F,Sex 2
391,Wes Nale,Dean Austin,431,FJXL41875039823810,M,Sex 1
392,Reed Kelly,Richard Johnson,432,MGBD54715819209731,M,Sex 1
393,Alec Christy,Dr Suzanne Gray,433,TIXD73931016607558,M,Sex 1
394,Baylor Wilson,Lee Richards-Higgins,434,NUPZ67682584378354,F,Sex 2
395,Kelley Wentworth,Robert Russell-Simpson,435,DOWM20561933469904,F,Sex 2
396,Josh Canfield,Joyce Woodward,436,PUMY78579560780054,M,Sex 1
397,Julie McGee*,Steven Campbell,437,YNQM97216336681996,F,Sex 2
398,John Rocker,Jonathan Steele,438,LWZP14770598107477,M,Sex 1
399,Dale Wentworth,Christian Brown,439,QXRN44952103410386,M,Sex 1
400,Drew Christy,Mr Dennis Fisher,440,XXQZ67328653465078,M,Sex 1
401,Nadiya Anderson,Dr Hilary Hall,441,GUPU98066789049244,F,Sex 2
402,Val Collins,Garry Cooke,442,FWJR24653505708165,F,Sex 2
403,Ethan Zohn,Connor Hancock,33,VIJB45047750246974,M,Sex 1
404,Mama Kim Johnson,Maurice Wright,34,WHHN75622344635342,F,Sex 2
405,Lex Van de Berghe,Ms Denise Martin,35,XZYU75424376761408,M,Sex 1
406,Big Tom Buchanan,Luke Jones,36,RSHE80564237344202,M,Sex 1
407,Teresa Cooper,Sophie Hall,37,ITZK65078991815736,F,Sex 2
408,Kim Powers,Philip Thompson-Wright,38,LPLF14539721296146,F,Sex 2
409,Frank Garrison,Leanne Harris,39,SNEF87684539880609,M,Sex 1
410,Brandon Quinton,Mr Jonathan Clarke,40,MJSP16791982613554,M,Sex 1
411,Kelly Goldsmith,Marc Rowley,41,KBME29220131185265,F,Sex 2
412,Clarence Black,Dominic Steele-Chan,42,LZHX75029336872653,M,Sex 1
413,Lindsey Richter,Jake Stewart-Ellis,43,RPIV72903154257172,F,Sex 2
414,Silas Gaither,Declan Roberts,44,KTEX11562942472381,M,Sex 1
415,Linda Spencer,Kerry Griffiths,45,FQRD81259515545145,F,Sex 2
416,Carl Bilancione,Clare Ahmed,46,JJTQ68932740290111,M,Sex 1
417,Jessie Camacho,Beth Vaughan,47,DTJC71528740150905,F,Sex 2
418,Diane Ogden,Duncan Young-Evans,48,NYHA64954390787396,F,Sex 2
419,Mike Holloway,Dominic Wyatt,443,LVYS61616213289659,M,Sex 1
420,Carolyn Rivera,Stuart Smith-Akhtar,444,XEYA70384825525632,F,Sex 2
421,Joe Anglim,Michael Gardner,445,UJAS70811392741230,M,Sex 1
422,Will Sims,Rachel Begum,446,EHJF58034577657476,M,Sex 1
423,Tyler Fredrickson,Trevor Patel,447,VGHE03835168603270,M,Sex 1
424,Sierra Thomas,Dr Allan Dean,448,XCGS29606529653789,F,Sex 2
425,Hali Ford,Barry Johnson,449,PGRQ96648475203704,F,Sex 2
426,Dan Foley,Tony Roberts,450,AFON33958809410619,M,Sex 1
427,Max Dawson,Debra King,451,XZKT79559824355791,M,Sex 1
428,Shirin Oskooi,Thomas Morgan,452,CKTD25998006741157,F,Sex 2
429,Jenn Brown,Gerard Marsden,453,IHHH20576142381066,F,Sex 2
430,Rodney Lavoie,Joanna Baker,454,IXUD47520689950337,M,Sex 1
431,Kelly Remington,Molly Howells,455,BKRH53340062381075,F,Sex 2
432,Joaquin Souberbielle,Derek Jackson,456,WSNX20038491027873,M,Sex 1
433,Lindsey Cascaddan,Dr Eileen Cox,457,WNFI47204633098979,F,Sex 2
434,Nina Poersch,Ms Sara Simmons,458,WLAF50585095054862,F,Sex 2
435,Vince Sly,Bryan Lloyd,459,KJKO81696634679319,M,Sex 1
436,So Kim,Mr Damian Martin,460,UNAS31446452249353,F,Sex 2
437,Vecepia Towery,Ms Tracey Payne,49,RULQ94211844682691,F,Sex 2
438,Neleh Dennis,Daniel Crawford,50,NTST87426904775320,F,Sex 2
439,Kathy Vavrick-O'Brien,Mr Paul Hewitt,51,NLHJ91819059881341,F,Sex 2
440,Paschal English*,Robert Sims,52,MQUP63305336437989,M,Sex 1
441,Sean Rector,Mrs Jodie Knight,53,NXLT75623302907940,M,Sex 1
442,Robert DeCanio,Paige Holloway-Cooke,54,VLBD44230007230442,M,Sex 1
443,Tammy Leitner,Miss Nicole Fletcher,55,SDOR32793119576827,F,Sex 2
444,Zoe Zanadakis,Anthony Gray,56,JTGP55763550973862,F,Sex 2
445,John Carroll,Stephanie Brookes,57,DUYS37125213861541,M,Sex 1
446,Boston Rob Mariano,Dorothy Stewart,58,OMKO66861483762726,M,Sex 1
447,Gina Crews,Dean Smith,59,MXUK22432629485393,F,Sex 2
448,Gabriel Cade,Karl Woods,60,RIWM73067351489622,M,Sex 1
449,Sarah Jones,Nicole O'Neill,61,BIRB42766760397205,F,Sex 2
450,Hunter Ellis,Molly Smith,62,EZUX93713350293280,M,Sex 1
451,Patricia Jackson,Charlie Elliott,63,NFBF14975873078427,F,Sex 2
452,Peter Harkey,Daniel Newman,64,AEJG22403085228456,M,Sex 1
453,Brian Heidik,Dr Christopher Kennedy,65,PAOJ21867159761310,M,Sex 1
454,Clay Jordan,Jane Holt,66,CVFN10277245501722,M,Sex 1
455,Jan Gentry,Lynn Brooks,67,OWXB71901704771638,F,Sex 2
456,Helen Glover,Ellie Ali-Schofield,68,BBNR66075010983668,F,Sex 2
457,Ted Rogers,Grace Foster,69,ZQYD31138271182492,M,Sex 1
458,Jake Billingsley,Geraldine Davies,70,CFSS15085508405038,M,Sex 1
459,Penny Ramsey,Mandy Turner,71,SOKQ62984890904217,F,Sex 2
460,Ken Stafford,Maria Townsend-Clarke,72,IKVF37293222499461,M,Sex 1
461,Erin Collins,Mrs Charlotte Collier,73,OMXE50279587555604,F,Sex 2
462,Shii Ann Huang,Barry Wilson,74,ADYH79099885201910,F,Sex 2
463,Robb Zbacnick,Kyle Murphy,75,DUKA42134965182848,M,Sex 1
464,Stephanie Dill,Dorothy Burgess,76,KWKD85024673015025,F,Sex 2
465,Ghandia Johnson,Martin Davison,77,FQXO85508496432159,F,Sex 2
466,Jed Hildebrand,Abdul Hanson,78,YUJD79835094456806,M,Sex 1
467,Tanya Vance,Anthony Russell,79,VRMW70126641681693,F,Sex 2
468,John Raymond,Melanie Barker,80,KGJN20780950747618,M,Sex 1
469,Jenna Morasca,Danielle Wilson,81,EQQX55794437644673,F,Sex 2
470,Matt von Ertfelda,Ms Maria Bentley,82,VLYM53402521790146,M,Sex 1
471,Rob Cesternino,Charlene Taylor,83,OGPV40764576963197,M,Sex 1
472,Butch Lockley,Lee Thomas,84,RZSZ75670746922581,M,Sex 1
473,Heidi Strobel,Marian Pugh,85,QYVI14962192565403,F,Sex 2
474,Christy Smith,Dr Barry Ali,86,TMAT25771960012606,F,Sex 2
475,Alex Bell,Conor Phillips,87,FQJZ55250808204433,M,Sex 1
476,Deena Bennett,Aimee Gibson,88,DGRO33510058144953,F,Sex 2
477,Dave Johnson,Bradley Carey,89,KAQY73491750172944,M,Sex 1
478,Roger Sexton,Lydia Thompson,90,PVUJ61643239038624,M,Sex 1
479,Shawna Mitchell,Wayne Shepherd,91,RRTT36052976215034,F,Sex 2
480,Jeanne Hebert,Mr Arthur Green,92,JJPZ20332870848939,F,Sex 2
481,JoAnna Ward,Bradley Parkes,93,QVUA19832606513565,F,Sex 2
482,Daniel Lue,Jasmine Metcalfe,94,ZXBO95862320520148,M,Sex 1
483,Janet Koth,Mr Allan Bull,95,HSBT62041472748151,F,Sex 2
484,Ryan Aiken,Miss Janice Oliver,96,YWXV32590525998411,M,Sex 1
485,Sandra Diaz-Twine,Phillip Jones,97,QOFT04722456176176,F,Sex 2
486,Lillian Morris,Danny Mason,98,YBHR11238530155465,F,Sex 2
487,Jonny Fairplay,Holly Davis,99,HNXX87719132492767,M,Sex 1
488,Darrah Johnson,Charlie Clark,100,NCVR86856067034208,F,Sex 2
489,Burton Roberts,Mark Farrell,101,ULIS89134531760692,M,Sex 1
490,Christa Hastie,Jodie Hall,102,RNKH57751460156635,F,Sex 2
491,Tijuana Bradley,Alison Walters-Parry,103,ZIEW45033383633250,F,Sex 2
492,Rupert Boneham,Dr Kim Kennedy,104,ZBDV18443097913181,M,Sex 1
493,Ryan Opray,Peter Edwards,105,ILWS11554200527984,M,Sex 1
494,Andrew Savage,Dr Katherine Harding,106,GKNI53314419431164,M,Sex 1
495,Osten Taylor*,Suzanne Hancock,107,ZHKJ37998940199575,M,Sex 1
496,Shawn Cohen,Miss Clare Butler,108,URCI28491688092291,M,Sex 1
497,Trish Dunn,Abigail Lloyd,109,NPFF08084528961208,F,Sex 2
498,Michelle Tesauro,Margaret Kirby,110,CQIT70452901362256,F,Sex 2
499,Ryan Shoulders,Kirsty Jones,111,INQC62892655292060,M,Sex 1
500,Nicole Delma,Lorraine Farrell,112,LLSG16754471198620,F,Sex 2
501,Amber Brkich,Dr Jennifer Read,22,LHWW84854476163251,F,Sex 2
502,Boston Rob Mariano,Dorothy Stewart,58,OMKO66861483762726,M,Sex 1
503,Jenna Lewis,Maurice Day,8,CKSN09844554450709,F,Sex 2
504,Rupert Boneham,Dr Kim Kennedy,104,ZBDV18443097913181,M,Sex 1
505,Big Tom Buchanan,Luke Jones,36,RSHE80564237344202,M,Sex 1
506,Shii Ann Huang,Barry Wilson,74,ADYH79099885201910,F,Sex 2
507,Alicia Callaway,Guy Lewis,25,BGDD65114851404267,F,Sex 2
508,Kathy Vavrick-O'Brien,Mr Paul Hewitt,51,NLHJ91819059881341,F,Sex 2
509,Lex Van den Berghe,Thomas Dennis,35,XZYU75424376761408,M,Sex 1
510,Jerri Manthey,Lynda Graham,24,DWDD77203267604690,F,Sex 2
511,Ethan Zohn,Connor Hancock,33,VIJB45047750246974,M,Sex 1
512,Colby Donaldson,Dr Frank Parkes,18,FLPH41041482783483,M,Sex 1
513,Sue Hawk*,Michael Davies,4,EENX50912782439658,F,Sex 2
514,Richard Hatch,Dorothy Harvey,1,CFMR05313324798782,M,Sex 1
515,Rob Cesternino,Charlene Taylor,83,OGPV40764576963197,M,Sex 1
516,Jenna Morasca*,Philip Rogers,81,EQQX55794437644673,F,Sex 2
517,Rudy Boesch,Dr Josephine Mitchell,3,DEDR19146806131267,M,Sex 1
518,Tina Wesson,Lindsey Ball-Thomson,17,ZPYU40345708410783,F,Sex 2
519,Chris Daugherty,Dr Malcolm Bentley,113,YWQN72063630389472,M,Sex 1
520,Twila Tanner,Gerard Skinner,114,KBXO41965506560275,F,Sex 2
521,Scout Cloud Lee,Dr Francis Dennis,115,ZIBQ07275671285938,F,Sex 2
522,Eliza Orlins,Gail Naylor-Wilson,116,FOXR64343484749296,F,Sex 2
523,Julie Berry,Mr Adam Edwards,117,OHAH25681964372365,F,Sex 2
524,Ami Cusack,Derek Harrison-Harvey,118,RKXX83379467348876,F,Sex 2
525,Leann Slaby,Dr Simon Jones,119,ILOY33847969924708,F,Sex 2
526,Chad Crittenden,Mitchell Hunter-Whitehouse,120,NFHZ04588391285045,M,Sex 1
527,Lea Sarge Masters,Barry Porter,121,ZQPK67748360941477,M,Sex 1
528,Rory Freeman,Debra Simpson,122,MNTE20932190651259,M,Sex 1
529,John Kenney,Pauline Patel-Kelly,123,FLBJ48840548821829,M,Sex 1
530,Lisa Keiffer,Alex Shepherd,124,RYPP88169025590866,F,Sex 2
531,Bubba Sampson,Joshua Humphreys,125,JHHP25147619638128,M,Sex 1
532,Brady Finta,Callum Walker-Wilson,126,DQKV75530559276785,M,Sex 1
533,Mia Galeotalanza,Miss Melissa Moore,127,XHRL88072766127422,F,Sex 2
534,John Palyok,Josephine Young-Barrett,128,BTKY68013883408127,M,Sex 1
535,Dolly Neely,Mrs Joyce Jackson,129,KIAE13204284980327,F,Sex 2
536,Brook Geraghty,Gail Brooks,130,MWOC18048211211344,M,Sex 1
537,Ciera Eastin,Janice Smith,403,UUJL68496114395322,F,Sex 2
538,Kass McQuillen,Mr Gordon Carter,411,WTRK36484198202946,F,Sex 2
539,Kimmi Kappenberg,Dr Joan Williams,28,NTEK05562762153313,F,Sex 2
540,Monica Padilla,Pauline Miah,288,GDJM53502335248187,F,Sex 2
541,Tasha Fox,Lynn White,409,DSDC86959760902972,F,Sex 2
542,Andrew Savage,Dr Katherine Harding,106,GKNI53314419431164,M,Sex 1
543,Jeremy Collins,Mr Andrew Lawrence,429,UCTW53745720091492,M,Sex 1
544,Joe Anglim,Michael Gardner,445,UJAS70811392741230,M,Sex 1
545,Keith Nale,Keith Cooper,427,USDC97519892488014,M,Sex 1
546,Stephen Fishbach,Mr Dale Hodgson,267,GWSR22428624611122,M,Sex 1
547,Abi-Maria Gomes,Mr Peter Vincent,380,IVBI09589008631465,F,Sex 2
548,Kelley Wentworth,Robert Russell-Simpson,435,DOWM20561933469904,F,Sex 2
549,Kelly Wiglesworth,George Gill,2,TXLH93389939364834,F,Sex 2
550,Peih-Gee Law,Hayley Spencer-Murray,226,PEMP09965075314167,F,Sex 2
551,Shirin Oskooi,Thomas Morgan,452,CKTD25998006741157,F,Sex 2
552,Jeff Varner,Colin Phillips,26,ILMO74908745588365,M,Sex 1
553,Spencer Bledsoe,Anthony Sharp,410,WFFF30022418520210,M,Sex 1
554,Terry Deitz*,Julian Bennett,169,QCOZ92572901687408,M,Sex 1
555,Vytas Baskauskas,Geoffrey Quinn,401,TCYJ45312617919191,M,Sex 1
556,Woo Hwang,Simon Lowe,408,ZITN03644611693741,M,Sex 1
557,Alecia Holden,Mr George Lewis,461,SVYH11879524760358,F,Sex 2
558,Cydney Gillon,Paula Atkinson-Osborne,462,WWNS63900087461014,F,Sex 2
559,Darnell Hamilton,Jacob Page,463,NXFK03471714989371,M,Sex 1
560,Jennifer Lanzetti,Mrs Zoe Pritchard,464,TKPT29313134669084,F,Sex 2
561,Kyle Jason,Paula Hutchinson,465,SAVO44008867396815,M,Sex 1
562,Scot Pollard,Kate Page,466,PTFW53874910373692,M,Sex 1
563,Aubry Bracco,Gillian Hughes,467,TALN57667719180647,F,Sex 2
564,Debbie Wanner,Alice Whittaker,468,LAXR00359950663810,F,Sex 2
565,Joe Del Campo*,Cameron Edwards,469,HLCE28234202285569,M,Sex 1
566,Liz Markham,Mr Joe Shepherd,470,KYTR33795646063674,F,Sex 2
567,Neal Gottlieb*,Shannon Dean,471,KONF11578701641743,M,Sex 1
568,Peter Baggenstos,Georgia Burgess,472,RSLK66711433155123,M,Sex 1
569,Anna Khait,Mr Ronald Fleming,473,TKSL51904741708208,F,Sex 2
570,Caleb Reynolds*,Beverley Howard,474,ZCMJ75920790897072,M,Sex 1
571,Julia Sokolowski,Beth Little,475,KTUU63860902939797,F,Sex 2
572,Michele Fitzgerald,Miss Katie Reynolds,476,GSEL96943672144707,F,Sex 2
573,Nick Maiorano,Abdul Shah,477,CPMW12012433075524,M,Sex 1
574,Tai Trang,Dr Martyn Bell,478,LBIB00821479859080,M,Sex 1
575,Adam Klein,Terry Curtis,479,MAWS52189783150140,M,Sex 1
576,Ken McNickle,Julie Hughes,480,ILUL91537501754376,M,Sex 1
577,David Wright,Pamela Harris,481,BXGO37879845195849,M,Sex 1
578,Jay Starrett,Dr Anne Jones,482,CSPX31905800223627,M,Sex 1
579,Hannah Shapiro,Victor Rose-Birch,483,VKXE03913445408069,F,Sex 2
580,Will Wahl,Mrs Katie Adams,484,NZUI00980623219592,M,Sex 1
581,Michaela Bradshaw,Beverley Steele,485,CELW55577107424292,F,Sex 2
582,Zeke Smith,Kerry Jackson-Nicholson,486,PACI02103580727635,M,Sex 1
583,Sunday Burquest,Dr Abdul Pearce,487,BFBA12266393871338,F,Sex 2
584,Chris Hammons,Dr Clare Wilkinson,488,SESP98994052533592,M,Sex 1
585,Bret LaBelle,Clare Williams,489,VGYY04323084981961,M,Sex 1
586,Michelle Schubert,Kieran Carter,490,RITY72363136554909,F,Sex 2
587,Jessica Lewis,Miss Sharon Carter,491,ECPD33795690520791,F,Sex 2
588,Figgy Figueroa,Lucy O'Brien,492,VHTJ42191953326157,F,Sex 2
589,Lucy Huang,Lynne Brown,493,PCGT11880570308557,F,Sex 2
590,Paul Wachter,Sandra Green,494,JZWH54826935014914,M,Sex 1
591,Taylor Stocker,Chloe Brown,495,YDBP78424673357048,M,Sex 1
592,CeCe Taylor,Dawn Burrows-Jones,496,DSDL86239905961923,F,Sex 2
593,Mari Takahashi,Hayley Jones,497,VDSP35732682610072,F,Sex 2
594,Rachel Ako,Mrs Lynne Lewis,498,IESV75907463626274,F,Sex 2
595,Brad Culpepper,Antony Morris,400,KIEB23432585514784,M,Sex 1
596,Sarah Lacina,Jay Woodward,416,BHZY51221686553280,F,Sex 2
597,Andrea Boehlke,Scott Hughes,327,KJAB52665330047906,M,Sex 1
598,Troyzan Robertson,Martyn Collier-Wright,357,IORC04990639122519,F,Sex 2
599,Cirie Fields,Naomi Cole,170,VOXB12697567069851,F,Sex 2
600,Aubry Bracco,Gillian Hughes,467,TALN57667719180647,M,Sex 1
601,Debbie Wanner,Alice Whittaker,468,LAXR00359950663810,F,Sex 2
602,Tai Trang,Dr Martyn Bell,478,LBIB00821479859080,F,Sex 2
603,Ozzy Lusth,Eric Stone,184,DWLC46820871953365,F,Sex 2
604,Malcolm Freberg,Jonathan Payne,373,FETP48921075317737,M,Sex 1
605,Hali Ford,Barry Johnson,449,PGRQ96648475203704,F,Sex 2
606,Zeke Smith,Kerry Jackson-Nicholson,486,PACI02103580727635,M,Sex 1
607,Sierra Thomas,Dr Allan Dean,448,XCGS29606529653789,F,Sex 2
608,Caleb Reynolds,Miss Louise Harding,474,ZCMJ75920790897072,M,Sex 1
609,Jeff Varner,Colin Phillips,26,ILMO74908745588365,F,Sex 2
610,Michaela Bradshaw,Beverley Steele,485,CELW55577107424292,M,Sex 1
611,Sandra Diaz-Twine,Phillip Jones,97,QOFT04722456176176,M,Sex 1
612,Tony Vlachos,Lisa Lawrence,407,MSIS89335002517012,M,Sex 1
613,J.T. Thomas,Billy Bradley,266,EWSL00032352532946,M,Sex 1
614,Ciera Eastin,Janice Smith,403,UUJL68496114395322,F,Sex 2
615,Ben Driebergen,Louise Hobbs-Fox,499,HOXJ62011505035579,M,Sex 1
616,Chrissy Hofbeck,Ashleigh Greenwood,500,GKNV58168382882364,F,Sex 2
617,Devon Pinto,Keith Webb-Winter,501,PSGR99842165964564,M,Sex 1
618,Lauren Rimmer,Mandy Reynolds,502,OKXV64580681677391,F,Sex 2
619,Ryan Ulrich,Francesca Chapman,503,YXDQ52446894244644,M,Sex 1
620,Ashley Nolan,Lesley Taylor-Thomas,504,WWPG69320351674144,F,Sex 2
621,Desi Williams,Frederick Sullivan,505,WRBM71281254166941,F,Sex 2
622,Cole Medders,Miss Lynda Mitchell,506,YCDD21724916284634,M,Sex 1
623,JP Hilsabeck,Philip Bird-Allen,507,TEET14449163525874,M,Sex 1
624,Alan Ball,Mrs Sophie Kirk,508,ICPT14501304702157,M,Sex 1
625,Mike Zahalsky,Ms Carole Lewis,509,HKYG76793782777985,M,Sex 1
626,Ali Elliott,Denise Day,510,JWCD36217085327992,F,Sex 2
627,Joe Mena,Roger Moore-Smith,511,LQFM15574232667980,M,Sex 1
628,Jessica Johnston,Grace Jones,512,DSRW74361235438388,F,Sex 2
629,Patrick Bolton,Dr Tina Ford,513,ZXXQ28479227773697,M,Sex 1
630,Roark Luskin,Mark Davies,514,AXTL20322795062387,F,Sex 2
631,Katrina Radke,Miss Marion Barnett,515,ZFXC43868783132435,F,Sex 2
632,Simone Nguyen,Mr Vincent Jones,516,DIOG08827242965447,F,Sex 2
633,Domenick Abbate,Richard Wilkinson,517,HTTB69534085379676,M,Sex 1
634,Wendell Holland,Dominic Byrne,518,NSNO98540169838371,M,Sex 1
635,Laurel Johnson,Connor Norman,519,YDTH45612340738686,F,Sex 2
636,Chelsea Townsend,Carolyn Simpson,520,XVLN76406124798039,F,Sex 2
637,Sebastian Noel,Amy Patterson,521,VMAS59988718708071,M,Sex 1
638,Kellyn Bechtold,Brenda Stephens-Turner,522,KJQQ55044112733118,F,Sex 2
639,Angela Perkins,Billy Robertson,523,ACAO73256772451873,F,Sex 2
640,Jenna Bowman,Amanda Smith-Chamberlain,524,IOPU37309647746598,F,Sex 2
641,James Lim,Pamela Giles,525,XJRK10803904146473,M,Sex 1
642,Libby Vincek,Charlie Baldwin,526,PYPH51004779516048,F,Sex 2
643,Brendan Shapiro,Terence Edwards-Roberts,527,MCFO18014814446178,M,Sex 1
644,Michael Yerger,Bethan Reed,528,EKJV94159685507240,M,Sex 1
645,Bradley Kleihege,Scott Fisher,529,BCPC17608150515367,M,Sex 1
646,Donathan Hurley,Scott Rowley,530,ZEDG73532409541067,M,Sex 1
647,Desiree Afuye,Amelia Powell-Kay,531,RKLS95656714478208,F,Sex 2
648,Stephanie Johnson,Dr Steven Wilson,532,UZNZ03699684381796,F,Sex 2
649,Chris Noble,Gary Lawrence,533,PAKW60640415347702,M,Sex 1
650,Morgan Ricke,Chelsea Thompson,534,CDFT54932363898023,F,Sex 2
651,Jacob Derwin,Ms Shirley Mitchell,535,JMCU00499894065202,M,Sex 1
652,Stephanie Gonzalez,Dr Paul Williams,536,VOUZ52100471786305,F,Sex 2
653,Nick Wilson,Mrs Marian Banks,537,OXMC52206997864241,M,Sex 1
654,Mike White,Amanda Jennings,538,LJRZ86002089556375,M,Sex 1
655,Kara Kay,Brett Sykes-Jones,539,TJBX47206745058822,F,Sex 2
656,Davie Rickenbacker,Maureen Richardson,540,FYRU61994659279280,M,Sex 1
657,Christian Hubicki,Holly Thompson,541,XYOY86810046556463,M,Sex 1
658,Gabby Pascuzzi,Paul Jones,542,VEBE36415846717687,F,Sex 2
659,John Hennigan,Keith Newman-Preston,543,OFNB29509405926789,M,Sex 1
660,Dan Rengering,Jane Williams-Smith,544,ZFDU95072967876372,M,Sex 1
661,Alec Merlino,Dr Karl Williams,545,BFGS47859125875430,M,Sex 1
662,Angelina Keeley,Dr Jane Douglas,546,WJTK56034364178562,F,Sex 2
663,Alison Raybould,Ellie Shaw,547,UJRZ43232994193618,F,Sex 2
664,Carl Boudreaux,Mrs Kayleigh Hall,548,ENNA53759182385341,M,Sex 1
665,Natalia Azoqa,Alex Reeves,549,XJIP87078415414573,F,Sex 2
666,Lyrsa Torres,Dr Diana Miah,550,NEOK00654012701923,F,Sex 2
667,Natalie Cole,Mrs Cheryl Singh,551,POAJ33367542405310,F,Sex 2
668,Elizabeth Olson,Mr Danny Booth,552,ZOVT19372790819870,F,Sex 2
669,Jeremy Crawford,Gavin Hayes,553,MJXV52865067959386,M,Sex 1
670,Bi Nguyen*,Donna Clayton,554,RLZG24043470600326,F,Sex 2
671,Jessica Peet,Mr Louis O'Connor,555,KBJV06856899092406,F,Sex 2
672,Pat Cusack*,Hugh Miah,556,QDIC42256219160612,M,Sex 1
673,Gavin Whitson,Georgina Howard-Harvey,557,FHYE41038796564257,M,Sex 1
674,Chris Underwood,Natalie Talbot,558,FRIA20178138371387,M,Sex 1
675,Rick Devens,Amber Baldwin-Lee,559,GBMW71283556489399,M,Sex 1
676,Julie Rosenberg,Heather Marshall,560,QXMT67306798813175,F,Sex 2
677,Ron Clark,Phillip Farmer,561,DFGD98175588354169,M,Sex 1
678,Aurora McCreary,Jodie Wood,562,NXMP85407557825427,F,Sex 2
679,Victoria Baamonde,Mr Danny Barton,563,HBQY82850591436519,F,Sex 2
680,Julia Carter,Brenda Young,564,OOQV74901784206525,F,Sex 2
681,Wardog' DaSilva,Charlotte Harrison,565,XDCO81476783639647,M,Sex 1
682,Lauren O'Connell,Lisa Jones,566,HDYT62315994834132,F,Sex 2
683,Eric Hafemann,Dr Bernard Manning,567,CBVA81225772731846,M,Sex 1
684,Kelley Wentworth,Robert Russell-Simpson,435,DOWM20561933469904,F,Sex 2
685,Joe Anglim,Michael Gardner,445,UJAS70811392741230,M,Sex 1
